OPEID,DisbursementYear,IncomeBracket,AvgNetPrice
NULL,2009,"75,001 to 110,000",NULL
247700,2009,"75,001 to 110,000",NULL
2517500,2009,"75,001 to 110,000",NULL
3064900,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
3065100,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
3783400,2009,"75,001 to 110,000",NULL
353700,2009,"75,001 to 110,000",22181
154100,2009,"75,001 to 110,000",10465
3122500,2009,"75,001 to 110,000",NULL
2050300,2009,"75,001 to 110,000",NULL
4104300,2009,"75,001 to 110,000",20520
NULL,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
4133500,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
3346300,2009,"75,001 to 110,000",21375
NULL,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
753100,2009,"75,001 to 110,000",32267
4126900,2009,"75,001 to 110,000",NULL
1290500,2009,"75,001 to 110,000",NULL
3288300,2009,"75,001 to 110,000",NULL
2499000,2009,"75,001 to 110,000",NULL
4118600,2009,"75,001 to 110,000",NULL
2621300,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
3277300,2009,"75,001 to 110,000",NULL
2244300,2009,"75,001 to 110,000",NULL
2244303,2009,"75,001 to 110,000",NULL
032763A1  ,2009,"75,001 to 110,000",NULL
1323200,2009,"75,001 to 110,000",23160
3276300,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",23562
2235900,2009,"75,001 to 110,000",NULL
1050700,2009,"75,001 to 110,000",NULL
4037500,2009,"75,001 to 110,000",NULL
2552400,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
4130700,2009,"75,001 to 110,000",NULL
4093300,2009,"75,001 to 110,000",NULL
3113400,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
1074100,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
3353300,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
NULL,2009,"75,001 to 110,000",NULL
